cpc;description_en;common_name_en
P2674;Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres;
P26740;Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres;
P2675;Woven fabrics of artificial staple fibres, containing 85% or more by weight of artificial staple fibres;
P26750;Woven fabrics of artificial staple fibres, containing 85% or more by weight of artificial staple fibres;
P2676;Woven fabrics of man-made staple fibres, containing less than 85% of such fibres, mixed mainly or solely with cotton;
P26760;Woven fabrics of man-made staple fibres, containing less than 85% of such fibres, mixed mainly or solely with cotton;
P2677;Woven fabrics of man-made staple fibres, containing less than 85% of such fibres, mixed mainly or solely with wool or fine animal hair;
P26770;Woven fabrics of man-made staple fibres, containing less than 85% of such fibres, mixed mainly or solely with wool or fine animal hair;
P2679;Other woven fabrics of man-made staple fibres;
P26790;Other woven fabrics of man-made staple fibres;
P268;Special fabrics;
P2681;Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of cotton;
P26810;Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of cotton;
P2682;Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of man-made fibres;
P26820;Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of man-made fibres;
P2683;Other woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics);
P26830;Other woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics);
P2684;Terry towelling and similar woven terry fabrics (other than narrow fabrics) of cotton;
P26840;Terry towelling and similar woven terry fabrics (other than narrow fabrics) of cotton;
P2685;Other terry towelling and similar woven terry fabrics (other than narrow fabrics);
P26850;Other terry towelling and similar woven terry fabrics (other than narrow fabrics);
P2686;Gauze (other than narrow fabrics);
P26860;Gauze (other than narrow fabrics);
P2688;Tufted textile fabrics, other than carpets;
P26880;Tufted textile fabrics, other than carpets;
P2689;Woven fabrics (including narrow fabrics) of glass fibres;
P26890;Woven fabrics (including narrow fabrics) of glass fibres;
P27;Textile articles other than apparel;
P271;Made-up textile articles;
P2711;Blankets and travelling rugs (except electric blankets);
P27110;Blankets and travelling rugs (except electric blankets);
P2712;Bed linen, table linen, toilet linen and kitchen linen;
P27120;Bed linen, table linen, toilet linen and kitchen linen;
P2713;"Curtains (including drapes) and interior blinds; curtain or bed valances";
P27130;"Curtains (including drapes) and interior blinds; curtain or bed valances";
P2714;"Other furnishing articles n.e.c.; sets of woven fabric and yarn for making up into rugs, tapestries, embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale";
P27140;"Other furnishing articles n.e.c.; sets of woven fabric and yarn for making up into rugs, tapestries, embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale";
P2715;Sacks and bags, of a kind used for the packing of goods;
P27150;Sacks and bags, of a kind used for the packing of goods;
P2716;Tarpaulins, sails for boats etc., awnings, sunblinds, tents and camping goods (including pneumatic mattresses);
P27160;Tarpaulins, sails for boats etc., awnings, sunblinds, tents and camping goods (including pneumatic mattresses);
P2717;Parachutes;
P27170;Parachutes;
P2718;Quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags and the like, fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics;
P27180;Quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags and the like, fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics;
P2719;Other made-up textile articles (including floor-cloths, dish-cloths, dusters and similar cleaning cloths, life-jackets and life-belts);
P27190;Other made-up textile articles (including floor-cloths, dish-cloths, dusters and similar cleaning cloths, life-jackets and life-belts);
P272;Carpets and other textile floor coverings;
P2721;Carpets and other textile floor coverings, knotted;
P27210;Carpets and other textile floor coverings, knotted;
P2722;Carpets and other textile floor coverings, woven, not tufted or flocked;
P27220;Carpets and other textile floor coverings, woven, not tufted or flocked;
P2723;Carpets and other textile floor coverings, tufted;
P27230;Carpets and other textile floor coverings, tufted;
P2729;Other carpets and textile floor coverings (including those of felt);
P27290;Other carpets and textile floor coverings (including those of felt);
P273;Twine, cordage, ropes and cables and articles thereof (including netting);
P2731;Twine, cordage, rope and cables;
P27310;Twine, cordage, rope and cables;
P2732;"Knotted netting of twine, cordage or rope; made up nets of textile materials; articles of yarn, strip, twine, cordage, rope or cables n.e.c.";
P27320;"Knotted netting of twine, cordage or rope; made up nets of textile materials; articles of yarn, strip, twine, cordage, rope or cables n.e.c.";
P279;Textiles n.e.c.;
P2791;Tulles, lace, narrow woven fabrics, trimmings and embroidery;
P27911;"Narrow woven fabrics; narrow fabrics of warp without weft assembled by adhesive (bolducs); labels, badges and similar articles of textile materials, not embroidered; braids in the piece; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted; tassels, pompons and similar articles";
P27912;"Tulles and other net fabrics, except woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs";
P27913;Embroidery in the piece, in strips or in motifs;
P2792;Felt and nonwovens;
P27921;Felt;
P27922;Nonwovens;
P2799;Other textile articles;
P27991;"Wadding of textile materials and articles thereof; textile fibres not exceeding 5 mm in length (flock), textile dust and mill neps";
P27992;"Rubber thread and cord, textile covered; textile yarn and strip, impregnated or covered with rubber or plastics";
P27993;Metallized yarn;
P27994;Woven fabrics of metal thread or metallized yarn n.e.c.;
P27995;"Gimped yarn and strip; chenille yarn; loop wale-yarn";
P27996;Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon;
P27997;Textile fabrics, impregnated, coated or covered n.e.c.;
P27998;Textile products and articles for technical uses (including wicks, gas mantles, hosepiping, transmission or conveyor belts, bolting cloth and straining cloth);
P27999;Quilted textile products in the piece n.e.c.;
P28;"Knitted or crocheted fabrics; wearing apparel";
P281;Knitted or crocheted fabrics;
P2811;Pile fabrics and terry fabrics, knitted or crocheted;
P28110;Pile fabrics and terry fabrics, knitted or crocheted;
P2819;Other knitted or crocheted fabrics;
P28190;Other knitted or crocheted fabrics;
P282;Wearing apparel, except fur apparel;
P2821;Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted;
P28210;Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted;
P2822;Wearing apparel, knitted or crocheted;
P28221;Men's or boys' suits, coats, jackets, trousers, shorts and the like, knitted or crocheted;
P28222;Men's or boys' shirts, underpants, pyjamas, dressing gowns and similar articles, knitted or crocheted;
P28223;Women's or girls' suits, coats, jackets, dresses, skirts, trousers, shorts and the like, knitted or crocheted;
P28224;Women's or girls' blouses, shirts, petticoats, panties, nightdresses, dressing gowns and similar articles, knitted or crocheted;
P28225;T-shirts, singlets and other vests, knitted or crocheted;
P28226;Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted;
P28227;Babies' garments and clothing accessories, knitted or crocheted;
P28228;Track suits, ski suits, swimwear and other garments, knitted or crocheted n.e.c.;
P28229;"Gloves, shawls, scarves, veils, ties, cravats and other made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories";
P2823;"Wearing apparel, of textile fabric, not knitted or crocheted; brassieres, corsets, suspenders and similar articles, whether or not knitted or crocheted";
P28231;Men's or boys' suits, coats, jackets, trousers, shorts and the like, of textile fabric, not knitted or crocheted;
P28232;Men's or boys' shirts, singlets, underpants, pyjamas, dressing gowns and similar articles, of textile fabric, not knitted or crocheted;
P28233;Women's or girls' suits, coats, jackets, dresses, skirts, trousers, shorts and the like, of textile fabric, not knitted or crocheted;
P28234;Women's or girls' blouses, shirts, singlets, petticoats, panties, nightdresses, dressing gowns and similar articles, of textile fabric, not knitted or crocheted;
P28235;Babies' garments and clothing accessories, of textile fabric, not knitted or crocheted;
P28236;Track suits, ski suits, swimwear and other garments, of textile fabric, not knitted or crocheted n.e.c.;
P28237;Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted;
P28238;"Handkerchiefs, shawls, scarves, veils, ties, cravats, gloves and other made-up clothing accessories, of textile fabric, not knitted or crocheted; parts of garments or of clothing accessories, of textile fabric, not knitted or crocheted n.e.c.";
P2824;Apparel and clothing accessories, of leather, composition leather or plastics;
P28241;Apparel of leather or of composition leather;
P28242;Clothing accessories of leather or of composition leather, except sports gloves;
P28243;Apparel and clothing accessories of plastics (incl. gloves);
P2825;"Garments made up of felt or nonwovens; garments made up of textile fabrics impregnated or coated with plastics, rubber or other materials";
P28250;"Garments made up of felt or nonwovens; garments made up of textile fabrics impregnated or coated with plastics, rubber or other materials";
P2826;Hats and headgear;
P28261;"Hat-forms, hat bodies and hoods of felt; plateaux and manchons of felt; hat-shapes, plaited or made by assembling strips of any material";
P28262;"Hats and other headgear, of felt, or plaited or made by assembling strips of any material, or knitted or crocheted or made up from lace or other textile fabric in the piece; hair-nets";
P28269;"Other headgear except headgear of rubber or of plastics, safety headgear and asbestos headgear; head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear";
P283;"Tanned or dressed furskins and artificial fur; articles thereof (except headgear)";
P2831;Tanned or dressed furskins;
P28310;Tanned or dressed furskins;
P2832;Articles of apparel, clothing accessories and other articles of furskin (except headgear);
P28320;Articles of apparel, clothing accessories and other articles of furskin (except headgear);
P2833;Artificial fur and articles thereof (except headgear);
P28330;Artificial fur and articles thereof (except headgear);
P29;"Leather and leather products; footwear";
P291;"Tanned or dressed leather; composition leather";
P2911;"Chamois leather; patent leather and patent laminated leather; metallized leather";
P29110;"Chamois leather; patent leather and patent laminated leather; metallized leather";
P2912;Other leather, of bovine or equine animals, without hair on;
P29120;Other leather, of bovine or equine animals, without hair on;
P2913;"Other leather, without hair on (including sheep, lamb, goat or kid skin leather); composition leather with a basis of leather or leather fibre";
P29130;"Other leather, without hair on (including sheep, lamb, goat or kid skin leather); composition leather with a basis of leather or leather fibre";
P292;"Luggage, handbags and the like; saddlery and harness; other articles of leather";
P2921;Saddlery and harness, for any animal, of any material;
P29210;Saddlery and harness, for any animal, of any material;
P2922;"Luggage, handbags and the like, of leather, composition leather, plastic sheeting, textile materials, vulcanized fibre or paperboard; travel sets for personal toilet, sewing or shoe or clothes cleaning";
P29220;"Luggage, handbags and the like, of leather, composition leather, plastic sheeting, textile materials, vulcanized fibre or paperboard; travel sets for personal toilet, sewing or shoe or clothes cleaning";
P2923;Watch straps, except of metal;
P29230;Watch straps, except of metal;
P2929;Other articles of leather or composition leather (including articles of a kind used in machinery or mechanical appliances or for other technical uses) n.e.c.;
P29290;Other articles of leather or composition leather (including articles of a kind used in machinery or mechanical appliances or for other technical uses) n.e.c.;
P293;Footwear, with outer soles and uppers of rubber or plastics, or with uppers of leather or textile materials, other than sports footwear, footwear incorporating a protective metal toe- cap and miscellaneous special footwear;
P2931;Waterproof footwear, with outer soles and uppers of rubber or plastics, other than footwear incorporating a protective metal toe-cap;
P29310;Waterproof footwear, with outer soles and uppers of rubber or plastics, other than footwear incorporating a protective metal toe-cap;
P2932;Footwear with outer soles and uppers of rubber or plastics, other than waterproof footwear or sports footwear;
P29320;Footwear with outer soles and uppers of rubber or plastics, other than waterproof footwear or sports footwear;
P2933;Footwear with uppers of leather, other than sports footwear, footwear incorporating a protective metal toe-cap and miscellaneous special footwear;
P29330;Footwear with uppers of leather, other than sports footwear, footwear incorporating a protective metal toe-cap and miscellaneous special footwear;
P2934;Footwear with uppers of textile materials, other than sports footwear;
P29340;Footwear with uppers of textile materials, other than sports footwear;
P294;Sports footwear, except skating boots;
P2941;Ski-boots, snowboard boots and cross-country ski footwear;
P29410;Ski-boots, snowboard boots and cross-country ski footwear;
P2942;Tennis shoes, basketball shoes, gym shoes, training shoes and the like;
P29420;Tennis shoes, basketball shoes, gym shoes, training shoes and the like;
P2949;Other sports footwear, except skating boots;
P29490;Other sports footwear, except skating boots;
P295;Other footwear, except asbestos footwear, orthopaedic footwear and skating boots;
P2951;Footwear incorporating a protective metal toe-cap, except those covered in subclass 29320;
P29510;Footwear incorporating a protective metal toe-cap, except those covered in subclass 29320;
P2952;Wooden footwear, miscellaneous special footwear and other footwear n.e.c.;
P29520;Wooden footwear, miscellaneous special footwear and other footwear n.e.c.;
P296;"Parts of footwear; removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof";
P2960;"Parts of footwear; removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof";
P29600;"Parts of footwear; removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof";
P3;Other transportable goods, except metal products, machinery and equipment;
P31;Products of wood, cork, straw and plaiting materials;
P311;"Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers (cross-ties) of wood, not impregnated";
P3110;"Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers (cross-ties) of wood, not impregnated";
P31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ;
P31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ;
P31109;Railway or tramway sleepers (cross-ties) of wood, not impregnated;
P312;"Wood continuously shaped along any of its edges or faces; wood wool; wood flour; wood in chips or particles";
P3121;Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings);
P31211;Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings) of coniferous wood;
P31212;Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings) of bamboo;
P31219;Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings) of other wood;
P3122;"Wood wool; wood flour";
P31220;"Wood wool; wood flour";
P3123;Wood in chips or particles;
P31230;Wood in chips or particles;
P313;"Wood in the rough, treated with paint, stains, creosote or other preservatives; railway or tramway sleepers (cross-ties) of wood, impregnated; hoopwood, split poles, wooden sticks and the like";
P3131;Wood in the rough, weather or not stripped of bark or sapwood, or roughly squared treated with paint, stains, creosote or other preservatives;
P31310;Wood in the rough, weather or not stripped of bark or sapwood, or roughly squared treated with paint, stains, creosote or other preservatives;
P3132;Railway or tramway sleepers (cross-ties) of wood, impregnated;
P31320;Railway or tramway sleepers (cross-ties) of wood, impregnated;
P3133;"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles or the like; chipwood and the like";
P31330;"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles or the like; chipwood and the like";
P314;Boards and panels;
P3141;Plywood consisting solely of sheets of wood, except of bamboo;
P31411;Plywood consisting solely of sheets, of coniferous wood;
P31412;Plywood consisting solely of sheets, of non-coniferous wood;
P3142;Other plywood, veneered panels and similar laminated wood, except of bamboo;
P31421;Other plywood, veneered panels and similar laminated wood, of coniferous wood;
P31422;Other plywood, veneered panels and similar laminated wood, of non-coniferous wood;
P3143;Particle board and similar board of wood or other ligneous materials;
P31431;Particle board;
P31432;Oriented strand board (OSB);
P31439;Other board of wood or other ligneous materials;
P3144;Fibreboard of wood or other ligneous materials;
P31441;Medium density fibreboard (MDF);
P31442;Hardboard;
P31449;Other fibreboard;
P3145;Plywood, veneer panels and similar laminated wood of bamboo;
P31450;Plywood, veneer panels and similar laminated wood of bamboo;
P315;"Veneer sheets; sheets for plywood; densified wood";
P3151;Veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or peeled, of a thickness not exceeding 6 mm;
P31511;Veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or peeled, of a thickness not exceeding 6 mm, of coniferous wood;
P31512;Veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or peeled, of a thickness not exceeding 6 mm, of non-coniferous wood;
P3152;Densified wood;
P31520;Densified wood;
P316;Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles and shakes);
P3160;Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles and shakes);
P31600;Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles and shakes);
P317;"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood (including staves)";
P3170;"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood (including staves)";
P31700;"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood (including staves)";
P319;"Other products of wood; articles of cork, plaiting materials and straw";
P3191;Other products of wood;
P31911;Tools, tool bodies, tool handles, broom or brush bodies and handles, boot or shoe lasts and trees, of wood;
P31912;Tableware and kitchenware, of wood;
P31913;"Wood marquetry and inlaid wood; cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood";
P31914;Wooden frames for paintings, photographs, mirrors or similar objects, and other articles of wood;
P3192;"Articles of cork and straw or other plaiting materials; basketware and wickerwork";
P31921;"Natural cork, debacked or roughly squared, or in blocks, plates, sheets or strip; crushed, granulated or ground cork; waste cork";
P31922;"Articles of natural cork; agglomerated cork and articles thereof";
P31923;"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork";
P32;"Pulp, paper and paper products; printed matter and related articles";
P321;Pulp, paper and paperboard;
P3211;Pulps of wood or other fibrous cellulosic material;
P32111;Chemical wood pulp, dissolving grades;
P32112;Chemical wood pulp, other than dissolving grades;
P32113;"Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood";
P3212;Newsprint, hand-made paper and other uncoated paper and paperboard of a kind used for graphic purposes, and punch card stock and punch tape paper;
P32121;Newsprint;
P32122;Hand-made paper and paperboard;
P32129;Other uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and punch card stock and punch tape paper;
P3213;"Toilet tissue stock, uncoated kraftliner and other uncoated paper and paperboard; miscellaneous other papers";
P32131;Toilet or facial tissue stock, towel or napkin stock and similar paper, cellulose wadding and webs of cellulose fibres;
P32132;Kraftliner, uncoated;
P32133;"Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled";
P32134;Fluting paper, including straw and semi-chemical;
P32135;Testliner (recycled liner board);
P32136;"Sulphite wrapping paper, filter paper and paperboard, felt paper and other paper and paperboard; cigarette paper not cut to size or in the form of booklets or tubes";
P32137;Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers;
P3214;Processed paper and paperboard;
P32141;Composite paper and paperboard, not surface-coated or impregnated;
P32142;Paper and paperboard, creped, crinkled, embossed or perforated n.e.c.;
P32143;Paper and paperboard coated with kaolin or with other inorganic substances;
P32149;Other paper and paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, gummed or adhesive, covered, surface-coloured, surface-decorated or printed, in rolls or sheets;
P3215;Corrugated paper and paperboard and containers of paper and paperboard;
P32151;Corrugated paper and paperboard;
P32152;Sacks and bags of paper;
P32153;"Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like";
P3219;Other paper and paperboard products;
P32191;"Carbon paper, self-copy paper and other copying or transfer papers, not in bulk sizes; duplicator stencils and offset plates, of paper";
P32192;"Envelopes, letter cards, plain postcards and correspondence cards of paper or paperboard; boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing paper stationery";
P32193;Toilet paper, handkerchiefs, towels, serviettes, napkins for babies, tampons, and similar household, sanitary or hospital articles, and articles of apparel, of paper pulp, paper, cellulose wadding or webs of cellulose fibres;
P32194;"Wallpaper and similar wall coverings; window transparencies of paper";
P32195;Textile wall coverings;
P32196;Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material;
P32197;Labels of paper or paperboard;
P32198;Filter blocks, slabs and plates, of paper pulp;
P32199;"Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; cigarette paper, in booklets or tubes, or in rolls of a width not exceeding 5 cm; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres";
P322;Books, in print;
P3221;Educational textbooks, in print;
P32210;Educational textbooks, in print;
P3222;General reference books, in print;
P32220;General reference books, in print;
P3223;Directories, in print;
P32230;Directories, in print;
P3229;Other books, in print;
P32291;Professional, technical and scholarly books, in print;
P32292;Children's books, in print;
P32299;Other books n.e.c., in print;
P323;Newspapers and periodicals, daily, in print;
P3230;Newspapers and periodicals, daily, in print;
P32300;Newspapers and periodicals, daily, in print;
P324;Newspapers and periodicals, other than daily, in print;
P3241;General interest newspapers and periodicals, other than daily, in print;
P32410;General interest newspapers and periodicals, other than daily, in print;
P3242;Business, professional or academic newspapers and periodicals, other than daily, in print;
P32420;Business, professional or academic newspapers and periodicals, other than daily, in print;
P3249;Other newspapers and periodicals, other than daily, in print;
P32490;Other newspapers and periodicals, other than daily, in print;
P325;"Printed maps; music, printed or in manuscript; postcards, greeting cards, pictures and plans";
P3251;Maps and hydrographic or similar charts (including wall maps, topographical plans and globes), printed, other than in book-form;
P32511;Maps and hydrographic or similar charts (including wall maps, topographical plans and maps for globes), printed, other than in book-form;
P32512;Globes;
P3252;Music, printed or in manuscript;
P32520;Music, printed or in manuscript;
P3253;"Printed or illustrated postcards; printed cards bearing personal greetings or messages, with or without envelopes or trimmings";
P32530;"Printed or illustrated postcards; printed cards bearing personal greetings or messages, with or without envelopes or trimmings";
P3254;Printed pictures, designs and photographs;
P32540;Printed pictures, designs and photographs;
P3255;"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions and carbon copies of the foregoing";
P32550;"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions and carbon copies of the foregoing";
P326;Stamps, cheque forms, banknotes, stock certificates, brochures and leaflets, advertising material and other printed matter;
P3261;"Unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and similar documents of title";
P32610;"Unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and similar documents of title";
P3262;Trade advertising material, commercial catalogues and the like;
P32620;Trade advertising material, commercial catalogues and the like;
P3263;Transfers (decalcomanias) and printed calendars;
P32630;Transfers (decalcomanias) and printed calendars;
P3269;Other printed matter;
P32690;Other printed matter;
P327;Registers, account books, notebooks, letter pads, diaries and similar articles, blotting-pads, binders, file covers, forms and other articles of stationery, of paper or paperboard;
P3270;Registers, account books, notebooks, letter pads, diaries and similar articles, blotting-pads, binders, file covers, forms and other articles of stationery, of paper or paperboard;
P32700;Registers, account books, notebooks, letter pads, diaries and similar articles, blotting-pads, binders, file covers, forms and other articles of stationery, of paper or paperboard;
P328;Composed type, prepared printing plates or cylinders, impressed lithographic stones or other impressed media for use in printing;
P3280;Composed type, prepared printing plates or cylinders, impressed lithographic stones or other impressed media for use in printing;
P32800;Composed type, prepared printing plates or cylinders, impressed lithographic stones or other impressed media for use in printing;
P33;"Coke oven products; refined petroleum products; nuclear fuel";
P331;"Coke and semi-coke of coal, of lignite or of peat; retort carbon";
P3310;"Coke and semi-coke of coal, of lignite or of peat; retort carbon";
P33100;"Coke and semi-coke of coal, of lignite or of peat; retort carbon";
P332;Tar distilled from coal, from lignite or from peat, and other mineral tars;
P3320;Tar distilled from coal, from lignite or from peat, and other mineral tars;
P33200;Tar distilled from coal, from lignite or from peat, and other mineral tars;
P333;"Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by weight 70% or more of these oils, such oils being the basic constituents of the preparations";
P3331;Motor gasoline and aviation gasoline;
P33311;Motor gasoline;
P33312;Aviation gasoline;
P3332;Gasolene-type jet fuel;
P33320;Gasolene-type jet fuel;
P3333;Naphtha;
P33330;Naphtha;
P3334;Kerosenes;
P33342;Kerosene-type jet fuel;
P33349;Other kerosene;
P3335;White spirit and special boiling point industrial spirits;
P33350;White spirit and special boiling point industrial spirits;
P3336;Gas oil;
P33360;Gas oil;
P3337;Fuel oils n.e.c.;
P33370;Fuel oils n.e.c.;
P3338;Lubricants;
P33380;Lubricants;
P3339;Other petroleum oils n.e.c.;
P33390;Other petroleum oils n.e.c.;
P334;Petroleum gases and other gaseous hydrocarbons, except natural gas;
P3341;Propane and butanes, liquefied;
P33410;Propane and butanes, liquefied;
P3342;Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except natural gas;
P33421;Ethylene, propylene, butylene, butadiene;
P33429;Other petroleum gases or gaseous hydrocarbons, except natural gas;
P335;"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials";
P3350;"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials";
P33500;"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials";
P336;"Radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues";
P3361;"Natural uranium and its compounds; alloys, dispersions, ceramic products and mixtures containing natural uranium and its compounds";
P33610;"Natural uranium and its compounds; alloys, dispersions, ceramic products and mixtures containing natural uranium and its compounds";
P3362;"Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products";
P33620;"Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products";
P3363;"Uranium depleted in U235 and its compounds; thorium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium depleted in U235, thorium or compounds of these products";
P33630;"Uranium depleted in U235 and its compounds; thorium and its compounds; alloys, dispersions, ceramic products and mixtures containing uranium depleted in U235, thorium or compounds of these products";
P3369;"Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues";
P33690;"Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues";
P337;Fuel elements (cartridges), for or of nuclear reactors;
P3371;Fuel elements (cartridges), non-irradiated, for nuclear reactors;
P33710;Fuel elements (cartridges), non-irradiated, for nuclear reactors;
P3372;Spent (irradiated) fuel elements (cartridges) of nuclear reactors;
P33720;Spent (irradiated) fuel elements (cartridges) of nuclear reactors;
P34;Basic chemicals;
P341;Basic organic chemicals;
P3411;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;
P34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;
P3412;"Industrial monocarboxylic fatty acids; acid oils from refining";
P34120;"Industrial monocarboxylic fatty acids; acid oils from refining";
P3413;"Alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols";
P34131;Ethyl alcohol and other spirits, denatured, of any strength;
P34139;"Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols";
P3414;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives, except salicylic acid and its salts and esters and their salts;
